CoCNo,Name,Description,Expected,Value,Framework,Evidence
5.4.2.6,"Do not share data centre chilled water system with comfort cooling","In buildings which are principally designed to provide an appropriate environment for IT equipment, and that have cooling systems designed to remove heat from technical spaces, do not share chilled water systems with human comfort cooling in other parts of the building.The required temperature to achieve latent cooling for comfort cooling is substantially below that required for sensible cooling of the data centre and will compromise the efficiency of the data centre cooling system. If comfort cooling remains a requirement consider the use of heat pumps to provide either cooling or heating for office area comfort.",New build of retrofit,4,"Mixed-use buildings (offices and technical areas) shall not share chilled water systems between human confort cooling and technical cooling (data halls, technical spaces).","Cooling system design documentation/DCiM/EMS/B MS Data"
5.4.2.7,"Do not allow non IT equipment to dictate cooling system set- points","Where other equipment requires a more restrictive temperature or humidity control range than the IT equipment this should not be permitted to dictate the set points of the cooling system responsible for the IT equipment.",New build of retrofit,4,"The organisation shall define the set points of the cooling system responsible for the IT equipment by the IT equipment temperature and humidity range, and not by other equipment with a more restrictive temperature and humidity control range. Note: This is specific to the white space where the IT equipment is installed.","Inspection cooling system temperature and humidity set up /DCiM/EMS/BMS Data"
5.4.2.8,"Chilled water pump control strategy","Chilled water systems configured with dualn pumps, one active, one on standby, can be reviewed for improved energy efficiency during operation. Using the pump manufacturers’ graphs of energy use vs pump speed, evaluate running two pumps in parallel vs a single pump running at a higher speed. If beneficial implement the running of two low speed pumps to reduce energy usage while achieving the same target flow rate and pressure.",New build of retrofit,1,"Chilled water systems configured with dual pumps, one active, one on standby, shall be reviewed for improved energy efficiency.","Design documents/DCiM/EMS/BMS Data"
5.5.1,"Variable Speed Fans","Many old CRAC / CRAH units operate fixed speed fans which consume substantial power and obstruct attempts to manage the data floor temperature. Variable speed fans are particularly effective where there is a high level of redundancy in the cooling system, low utilisation of the facility or highly variable IT electrical load. These fans may be controlled by factors such as the supply or return air temperature or the chilled air plenum pressure. Note: CRAC / CRAH units with fixed speed compressors have minimum flow requirements which constrain the minimum operating load and therefore minimum airflow.",New build of retrofit,4,"The organisation shall install variable speed fans where there is a high level of redundancy in the cooling system, low utilisation of the facility or highly variable IT electrical load.","Design documents/DCiM/EMS/BMS Data"
5.5.2,"Control on CRAC / CRAH unit supply air temperature","Controlling on supply temperature ensures an even supply air temperature independent of the load on each CRAC / CRAH unit. Historically many CRAC / CRAH units were controlled on return temperature which is no longer considered appropriate practice.",New build of retrofit,3,"The organisation shall control supply air temperature in order to ensure an even supply air temperature independent of the load on each CRAC/CRAH unit.","Design documents/DCiM/EMS/BMS Data"
5.5.5,"Do not control humidity at CRAC / CRAH unit","The only humidity control that should be present in the data centre is that on fresh 'Make Up' air coming into the building and not on re-circulating air within the equipment rooms. Humidity control at the CRAC / CRAH unit is unnecessary and undesirable. Humidity control should be centralised. Do not install humidity control at the CRAC /CRAH unit on re-circulating air. Instead control the specific humidity of the make-up air at the supply AHU. This provides better control and allows use of adiabatic humidification (with lower energy consumption) and potential additional opportunities for some free cooling. The chilled water loop or DX evaporator temperature should in any case be too high to provide de-humidification. When purchasing new CRAC / CRAH units select models which are not equipped with humidity control capability, including any reheat capability, this will reduce both capital and on-going maintenance costs.",New build of retrofit,4,"The only humidity control that shall be present in the data centre is the air intake coming into the building. Humidity control shall be centralised. Note: This provides better control and allows use of adiabatic humidification (with lower energy consumption) and potential additional opportunities for some free cooling. Note: Humidity control at the CRAC/CRAH unit is unnecessary and undesirable.Humidity control should be centralised. Do not install humidity control at the CRAC/RAH unit on re-circulating air. Instead control the specific humidity of the make-up air at the supply AHU. This provides better control and allows use of adiabatic humidification (with lower energyconsumption) and potential additional opportunities for some free cooling. The chilled water loop or DX evaporator temperature should in any case be too high to provide de-humidification. When purchasing new CRAC/CRAH units select models which are not equipped with humidity control capability, including any reheat capability, this will reduce both capital and on-going maintenance costs.","Design documents/DCiM/EMS/BMS Data and commissioning documents"
5.5.6,"Cooling unit sizing and selection","Air volumes required by IT equipment not only depend on the IT load (kW) but also on the IT equipment delta-T, which will also vary with utilisation. Consider these factors, plus likely future utilisation and bypass to size the cooling units design flow rates. As airflow is inversely proportional to delta T for the same load, if the IT delta-T is overestimated, this will result in undersized CRAC / CRAH air volumes and potential air management problems. Additionally, if it is underestimated, CRAC / CRAH air volumes will be oversized which makes low part load inefficient operation and air bypass more likely.",New build of retrofit,4,"The organisation shall calculate the air volumes supplied by CRAC/CRAHs for IT equipment based on the IT load (kW) and on the IT equipment delta-T. Note: The volumes will depend on the IT load.","Design documents/DCiM/EMS/BMS Data and commissioning documents"
5.7.1,"Waste heat re-use","Evaluate the possibility of providing grade heating to industrial space or to other targets such as adjacent office space fresh air directly from heat rejected from the datacentre. This does not reduce the energy consumed by the data centre itself but does offset the total energy overhead by potentially reducing energy use elsewhere.",New build of retrofit,4,"The organisation shall evaluate the possibility of providing waste heating from the data centre to an industrial space or to other targets, such as adjacent office spaces.","Inspection re-use waste heating projects"
5.7.2,"Heat pump assisted waste heat re-use","Where it is not possible to directly re-use the waste heat from the data centre due to the temperature being too low it can still be economic to use additional heat pumps to raise the temperature to a useful point. This possibility should be evaluated and can potentially supply office, district and other heating needs.",New build of retrofit,4,"Where it is not possible to directly re-use the waste heating from the data centre, the organisation shall evaluate the use of heat pumps in order to provide waste heating to an industrial space or to other targets, such as adjacent office spaces.","Inspection re-use waste heating projects"
6.1.1,"Modular UPS deployment","It is now possible to purchase modular (scalable) UPS systems across a broadrange of power delivery capacities. Physical installation, transformers and cabling are prepared to meet the design electrical load of the facility but the sources of inefficiency (such switching units and batteries) are installed, as required, in modular units. This substantially reduces both the capital cost and the fixed overhead losses of these systems. In low power installations these may be frames with plug in modules whilst in larger installations these are more likely to be entire UPS units.",New build of retrofit,3,"The organisation shall use modular UPS systems. Note: It is now possible to purchase modular (scalable) UPS systems across a broad range of power delivery capacities. This can substantially reduce both the capital cost and the fixed overhead losses of these systems. In low power installations, these may be frames with plug-in modules, whilst in larger installations these are more likely to be entire UPS units.","Design Documents/Procurement"
6.1.2,"High efficiency UPS","If static AC UPS systems are to be installed select energy efficient UPS systems that are compliant with the “elite requirements” of the 2021 version of the EU Code of Conduct on Energy Efficiency of AC Uninterruptible Power Systems. A UPS compliant to this Code of Conduct requirement should also be compliant to IEC 62040 series for UPS systems, which also provides environmental operating conditions. A UPS conforming to this standard should be able to perform as rated when operating within the following minimum ambient ranges: Temperature 0°C to +40°C. Relative Humidity 20% to 80%. Note: Rotary and Direct Current UPS systems are not included in the 2021 versionof the EU Code of Conduct on ACU ninterruptible Power Systems, but this does not in any way suggest that rotary or Direct Current UPS should not be used, rather that these technologies are not currently coveredby an EU Code of Conduct providing shared evidence of meeting high efficiency requirements for these systems. Also consider referencing and using the current U.S. EPA ENERGY STAR specifications for Uninterruptible Power Supplies (UPS).",New build of retrofit,3,"The organisation shall use and document results of high efficiency UPS systems that are compliant with the “elite requirements” of the 2021 or latest version of the EU Code of Conduct on Energy Efficiency of AC Uninterruptible Power Systems. A UPS compliant to this Code of Conduct requirement shall also be compliant to EN 62040 series for UPS systems which also provides environmental operating conditions. A UPS conforming to this standard should be able to perform as rated when operating within the following minimum ambient ranges: Temperature 0°C to +40°C. Relative Humidity 20% to 80%. Note: Rotary and Direct Current UPS systems are not included in the 2021 or latest version of the EU Code of Conduct on AC Uninterruptible Power Systems, but this does not in any way suggest that rotary or Direct Current UPS should not be used, rather that these technologies are not currently covered by an EU Code of Conduct providing shared evidence of meeting high efficiency requirements for these systems.","O&M Manuals/Check against EUCOC for UPS"
6.1.3,"Use efficient UPS operating modes","Deploy UPS units in their most efficient operating modes where appropriate. Note Use of alternative UPS technologies such as rotary or direct current systems may be considered. The comparison and evaluation of the technologies shall be based on latest and non-biased information about available products in the market. Some UPS systems may have technologies allowing energy optimisation at partial load levels and these shall be taken into account as appropriate for the application. This may also be particularly relevant for any UPS system feeding mechanical loads e.g. CRAC/CRAH fans.",New build of retrofit,2,"The organisation shall consider using UPS units in their most efficient operating modes. Note: Use of alternative UPS technologies such as rotary or direct current systems may be considered. The comparison and evaluation of the technologies shall be based on latest and non-biased information about available products in the market. Some UPS systems may have technologies allowing energy optimisation at partial load levels and these shall be taken into account as appropriate for the application. This may also be particularly relevant for any UPS system feeding mechanical loads e.g. CRAC/CRAH fans.","Visual Inspection of Operational Modes/if not appropriate explain"
6.1.4,"Elimination of Isolation Transformers","Isolation transformers in power distribution to IT equipment down to 120 V are typically not required in Europe and should be eliminated from designs as they introduce additional transformer losses unnecessarily.",New build of retrofit,3,"The organisation shall eliminate the use of isolation transformers in power distribution.","Review of Design Documents"
6.1.5,"Efficient part load operation","Electrical infrastructure should remain energy efficient under partial fill and variable IT electrical loads as described in Practice 3.3.4.",New build of retrofit,3,"The organisation shall implement and document an efficient part load strategy. Electrical infrastructure should remain energy efficient under partial fill and variable IT electrical loads as described in Practice 3.3.4 of the Code of Conduct.","Part Load Strategy/SOPs"
7.1.1,"Turn off Lights","Lights should be turned off, preferably automatically whenever areas of the building are unoccupied, for example switches which turn off lighting a specified time after manual activation. Motion detector activated lighting is generally sufficient to support security camera systems.",Entire Data Centre,1,"The organisation shall turn off lighting (preferably automatically) whenever areas of the building are unoccupied.","Visual Inspection lIGHTING CONTROL SYSTEM"
7.1.2,"Low energy lighting","Low energy lighting systems should be used in the data centre. LED lighting is an example.",New build of retrofit,1,"The organisation shall deploy low energy lighting systems in the data centre spaces, e.g LED lighting systems.","Visual Inspection/Review of Bulbs/System"
7.1.3,"Pale coloured fixtures and fittings","Use pale / light colours on walls, floors fixtures and fittings including cabinets etc. to reduce the amount of lighting required to illuminate a data hall and therefore the energy consumed for lighting. This will also ensure good levels of visibility both throughout the hall and within cabinets.",New build of retrofit,1,"The organisation shall use pale/light colours on walls, floors fixtures and fittings including cabinets, etc. to reduce the amount of lighting required to illuminate a computer room and therefore the energy consumed for lighting. Note: This will also ensure good levels of visibility both throughout the hall and within cabinets.","Visual Inspection"
7.1.4,"Energy & temperature reporting hardware","Select Mechanical and Electrical equipment with direct local metering of power usage and/or temperature reporting capabilities (where appropriate), preferably reporting energy used as a counter in addition to power as a gauge.To assist in the implementation of temperature and energy monitoring across abroad range of data centre infrastructure all monitoring devices installed should be able to use existing networks and operate on an Open Protocol basis.This interface protocol should enable all operators’ existing monitoring platform to be able to retrieve data from the installed meters without the purchase of additional licenses from the equipment vendor The intent of this Practice is to provide energy and environmental monitoring of the data centre throughout the entire infrastructure with increasing levels of granularity.",New build of retrofit,3,"The organisation shall select mechanical and electrical equipment with local metering/monitoring of energy usage and/or temperature as appropriate. Capabilities shall allow for reporting cumulative periodic energy consumption (kWh), in addition to instantaneous power usage (kW). Temperature reporting shall allow for visibility of temperature trends over a period of time as well as instantaneous temperature readings. Note: To assist in the implementation of temperature and energy monitoring across a broad range of data centre infrastructure all monitoring devices installed should be able to use existing networks and operate on an Open Protocol basis. This interface protocol should enable all operators’ existing monitoring platform to be able to retrieve data from the installed meters without the purchase of additional licenses from the equipment vendor. The intent of this Practice is to provide energy and environmental monitoring of the data centre throughout the entire infrastructure with increasing levels of granularity.","Design Documents/Visual Inspection/DCiM/BMS/EMS"
8.1.1,"Locate M&E plant outside the cooled area","Heat generating Mechanical and Electrical plant such as UPS units should be located outside the cooled areas of the data centre wherever possible to reduce the loading on the data centre cooling plant.",New build of retrofit,2,"The organisation shall locate, where possible, mechanical and electrical equipment (e.g. UPS units) which generate heat outside the cooled data centre spaces to reduce the load on the data centre cooling system.","Design Documents/Visual Inspection"
8.1.2,"Select or create a building with sufficient ‘slab to slab’ separation / ceiling height","Where air movement is used to cool the IT equipment, insufficient ceiling height will frequently hamper the use and efficiency of air cooling technologies such as raised floor, suspended ceiling, aisle containment or ducts in the data centre.",New build of retrofit,3,"Where air movement is used to cool the IT equipment, the organisation shall ensure sufficient room space to enable the use of efficient air cooling technologies such as raised floor, suspended ceiling, aisle containment or ducts in the data centre.","Design Documents/Visual Inspection"
8.1.3,"Facilitate the use of 'Free Cooling'","The physical layout of the building should not obstruct or restrict the use of free cooling (either air or water) or other equipment with an economisation / free cooling mode.",New build of retrofit,3,"The organisation shall ensure that the physical layout of the building does not obstruct or restrict the use of free cooling (either air-side or water-side), or other equipment with an economization or free cooling mode.","Design Documents/Visual Inspection"
8.1.4,"Location and orientation of plant equipment","Cooling equipment, particularly dry or adiabatic coolers should be located in an area of free air movement to avoid trapping it in a local hot spot. Ideally this equipment should also be located in a position on the site where the waste heat does not affect other buildings and create further demand for air conditioning.",New build of retrofit,2,"The organisation shall place cooling equipment, particularly dry or adiabatic coolers, in an area with free air movement. Note: This equipment should be located in a position on the site where the waste heat does not affect other buildings and create further demand for air conditioning.","Design Documents/Visual Inspection"
8.1.5,"Minimise direct solar heating","Minimise solar heating (insolation), of the cooled areas of the data centre by providing shade or increasing the albedo (reflectivity) of the building through the use of light coloured roof and wall surfaces. Shade may be constructed, provided by utilising natural features including 'green roof' systems. Effective insulation can be provided by using suitable wall and roof coverings. There should also be no external windows in the data centre to prevent heating from direct sunlight. This is also good practice from a security point of view. Failure to protect against solar heating (insolation) will result in additional cooling requirements.",New build of retrofit,2,"The organisation shall minimize solar heating (insolation) of the cooled areas of the data centre by providing shade or increasing the albedo (reflectivity) of the building. Note: this can be achieved through the use of light coloured roof and wall surfaces and by avoiding the use of external windows in data centre spaces. Failure to protect against solar heating (insolation) will result in additional cooling requirements. Shade can be constructed or provided by utilizing natural features including 'green roof' systems.","Design Documents/Visual Inspection"
9.1.1,"Incoming energy consumption meter","Install metering equipment capable of measuring the total energy use of the data centre including all power conditioning, distribution and cooling systems. This should be separate from any non data centre building loads. Note: This is required for Code of Conduct reporting.",Entire Data Centre,4,"The organisation shall install metering equipment capable of measuring the total energy use of the data centre according the EN 50600-4-2 or ISO/IEC 30134-2. Note: see cross-reference table.","Design Documents/Visual Inspection/DCiM/EMS/BMS Data"
9.1.2,"IT Energy consumption meter","Install metering equipment capable of measuring the total energy delivered to IT systems. This may also include other power feeds where non UPS protected power is delivered to the cabinets. Note: This is required for Code of Conduct reporting.",Entire Data Centre,4,"The organisation shall install metering equipment capable of measuring the total energy delivered to IT systems. According the EN 50600-4-2 or ISO/IEC 30134-2. Note: see cross-reference table.","Design Documents/Visual Inspection/DCiM/EMS/BMS Data"
9.1.3,"Room level metering of supply air temperature and humidity","Install metering equipment at room level capable of indicating the supply air temperature and humidity for the IT equipment.",Entire Data Centre,2,"The organisation shall install metering equipment at room level in the computer room space capable of indicating the supply air temperature and humidity for the IT equipment. According the EN 50600-2-3 or ISO/IEC22237-4. Note: see cross-reference table.","Design Documents/ operation and maintenace documents/Visual Inspection/DCiM/EMS/BMS Data"
9.1.4,"CRAC / CRAH unit level metering of supply or return air temperature","Collect data from CRAC / CRAH units on supply and return (dependent upon operating mode) air temperature.",Entire Data Centre,3,"The organisation shall collect data from CRAC / CRAH units on supply and return (dependent upon operating mode) air temperature. According the EN 50600-2-3 or ISO/IEC 22237-4. Note: see cross-reference table.","Design Documents/ operation and maintenace documents/Visual Inspection/DCiM/EMS/BMS Data"
9.1.5,"Distribution board level metering of Mechanical and Electrical energy consumption","Improve visibility and granularity of datacentre infrastructure overheads",New build of retrofit,3,"The organisation shall install metering equipment at distribution board level for measuring the energy use of mechanical and electrical components. Note: Total energy use includes energy for electricity, heating/cooling and all fuels required for data centre operation (see EN 50600-4-2; ISO/IEC 30134-2 PUE). Note: see cross-reference table.","Design Documents/ operation and maintenace documents/Visual Inspection/DCiM/EMS/BMS Data"
9.2.1,"Periodic manual readings","As an entry level, energy, temperature and humidity (dry bulb temperature, relative humidity and dew point temperature) should be made available to allow reporting to be performed based on periodic manual readings of measurement and metering equipment. This should occur at regular times, ideally at peak load. Note: Energy reporting is already mandated for Code of Conduct reporting requirements also that automated readings are considered to be a replacement for this Practice when applying for Participant status.",Entire Data Centre,3,"Organisations carrying out manual data collection shall at least collect energy, temperature and humidity to facilitate reporting based on these readings. Measurements should occur at regular intervals, ideally at peak load.","Design Documents/Visual Inspection/DCiM/EMS/BMS Data"
9.2.2,"Automated daily readings","Automated daily readings enable more effective management of energy use. Note: Supersedes Periodic manual readings.",New build of retrofit,4,"In cases where an organisation has deployed an automated system, the system shall collect automated readings to enable a more effective management of energy use.","Design Documents/Visual Inspection/DCiM/EMS/BMS Data"
9.2.4,"Achieved free cooling / economised cooling hours","Require collection and logging of full free cooling, partial free cooling and full refrigerant and compressor based cooling hours throughout the year.The intent being to record the amount of time and energy spent running on mechanical refrigerant and compressor based cooling versus the use of free cooling in order to reduce the amount of time spent on mechanical cooling during the year. The site design, cooling system operational set-points and IT equipment environmental control ranges should allow the data centre to operate without refrigeration for a significant part of the year with no refrigeration for the IT cooling load as evaluated against a Typical Meteorological Year for the site. Note: This refers to mechanical compressors and heat pumps, any device which uses energy to raise the temperature of the rejected heat.",New build of retrofit,4,"If a free cooling cooling solution has been deployed, the organisation shall collect and log full free cooling, partial free cooling and full refrigerant and compressor-based cooling hours throughout the year. Note: The data is used to reduce the time spent on mechanical cooling during the year. The site design, cooling system operational set-points and IT equipment environmental control ranges should allow the data centre to operate without refrigeration for a significant part of the year with no refrigeration for the IT cooling load as evaluated against a Typical Meteorological Year for the site. This refers to mechanical compressors and heat pumps, any device which uses energy to raise the temperature of the rejected heat.","Design Documents/Visual Inspection/DCiM/EMS/BMS Data and SOPs, MOPs"
9.3.1,"Written Reporting","Minimum reporting consists of periodic written reports on energy consumption and environmental ranges. All written reports and submissions should reference the Category being reported and ensure that the required method of data collection and calculation determined by the Standardised ISO KPIs from the ISO/IEC 30134 series (or EN 50600 equivalent), should be used in all reports, written or otherwise if reported. These Standardised KPIs include PUE, pPUE, REF, ITEESV, ITEUSV, ERF, CER, CUE, WUE. Note: Determining the averaged DCiE or PUE over the reporting period is already mandated by the Code of Conduct reporting requirements. This report may be produced by an automated system. Note: All DCiE and PUE calculations should be completed according to the guidelines set out by EN 50600-4-2 which is equivalent to ISO/IEC 30134-2. EN 50600-4-2:2016 “Information technology — Data centre facilities and infrastructures — Part 4-2: Power Usage Effectiveness”. Note: Different categories of PUE ranging from 0 to 3 representing increasing levels of reporting granularity.",Entire Data Centre,4,"The organisation shall provide written reports on energy consumption and environmental ranges on a regular basis. All written reports and submissions shall reference the Category being reported and ensure that the required method of data collection and calculation determined by standardized KPIs according to EN 50600-4-X (X=1 to 9), ISO/IEC 30134-4 and ISO/IEC 30134-5 shall be used in all reports, written or otherwise if reported. These Standardised KPIs include PUE, pPUE, REF, ITEESV, ITEUSV, ERF, CER, CUE, WUE. Note: Different categories of PUE, CUE and WUE ranging from 1 to 3 representing increasing levels of reporting granularity.","Design Documents/Visual Inspection/DCiM/EMS/BMS Data/DCM Monthly Report"
9.3.4,"Achieved free cooling / economised cooling hours","Require reporting of full free cooling, partial free cooling and full refrigerant and compressor based cooling hours throughout the year.The intent being to report the amount or time and energy spent running on mechanical refrigerant and compressor based cooling versus the use of free cooling in order to reduce the amount of time spent on mechanical cooling during the year. The site design, cooling system operational set-points and IT equipment environmental control ranges should allow the data centre to operate without refrigeration for a significant part of the year with no refrigeration for the IT cooling load as evaluated against a Typical Meteorological Year for the site. Note: This refers to mechanical compressors and heat pumps, any device which uses energy to raise the temperature of the rejected heat.",New build of retrofit,4,"If a free cooling solution has been deployed, the organisation shall report full free cooling, partial free cooling and full refrigerant and compressor-based cooling hours throughout the year.","Design Documents/Visual Inspection/DCiM/EMS/BMS Data"
